VARIABLE: MSC01.ZT8.107:COUNTS
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: count
Description: CHARM SEC1 counts per spill

Timestamp (LOCAL_TIME),Value
2015-06-26 08:12:41.500,14932
2015-06-26 08:12:52.300,15438
2015-06-26 08:13:06.700,14879
2015-06-26 08:13:25.900,14692
2015-06-26 08:13:33.100,15531
2015-06-26 08:13:43.900,15323
2015-06-26 08:13:58.300,15635
2015-06-26 08:14:17.500,14577
2015-06-26 08:14:24.700,14793
2015-06-26 08:14:35.500,15358
2015-06-26 08:14:49.900,14728
2015-06-26 08:15:09.100,14423
2015-06-26 08:15:16.300,14902
2015-06-26 08:15:27.100,15537
2015-06-26 08:15:41.500,14697
2015-06-26 08:16:00.700,14065
2015-06-26 08:16:07.900,15196
2015-06-26 08:16:18.700,14955
2015-06-26 08:16:33.100,15095
2015-06-26 08:16:52.300,14720
2015-06-26 08:16:59.500,14926
2015-06-26 08:17:10.300,14678
2015-06-26 08:17:24.700,14888
2015-06-26 08:17:43.900,14757
2015-06-26 08:17:51.100,15387
2015-06-26 08:18:01.900,15062
2015-06-26 08:18:16.300,15377
2015-06-26 08:18:35.500,14753
2015-06-26 08:18:42.700,15512
2015-06-26 08:18:53.500,15087
2015-06-26 08:19:07.900,14821
2015-06-26 08:19:27.100,14944
2015-06-26 08:19:34.300,14779
2015-06-26 08:19:45.100,15009
2015-06-26 08:19:59.500,14925
2015-06-26 08:20:18.700,14835
2015-06-26 08:20:25.900,15139
2015-06-26 08:20:36.700,15500
2015-06-26 08:20:51.100,15122
2015-06-26 08:21:10.300,13940
2015-06-26 08:21:17.500,14934
2015-06-26 08:21:28.300,14669
2015-06-26 08:21:42.700,15419
2015-06-26 08:22:01.900,14624
2015-06-26 08:22:09.100,15337
2015-06-26 08:22:19.900,14706
2015-06-26 08:22:34.300,15210
2015-06-26 08:22:53.500,14152
2015-06-26 08:23:00.700,14695
2015-06-26 08:23:11.500,15325
2015-06-26 08:23:25.900,15103
2015-06-26 08:23:45.100,14453
2015-06-26 08:23:52.300,15296
2015-06-26 08:24:03.100,14686
2015-06-26 08:24:17.500,15712
2015-06-26 08:24:36.700,14830
2015-06-26 08:24:43.900,15113
2015-06-26 08:24:54.700,14647
2015-06-26 08:25:09.100,14945
2015-06-26 08:25:28.300,14794
2015-06-26 08:25:35.500,15075
2015-06-26 08:25:46.300,15374
2015-06-26 08:26:00.700,15068
2015-06-26 08:26:19.900,14926
2015-06-26 08:26:27.100,14933
2015-06-26 08:26:37.900,14926
2015-06-26 08:26:52.300,15374
2015-06-26 08:27:11.500,15084
2015-06-26 08:27:18.700,15679
2015-06-26 08:27:29.500,14948
2015-06-26 08:27:43.900,15532
2015-06-26 08:28:03.100,14761
2015-06-26 08:28:10.300,15046
2015-06-26 08:28:21.100,15136
2015-06-26 08:28:35.500,14879
2015-06-26 08:28:54.700,14148
2015-06-26 08:29:01.900,14670
2015-06-26 08:29:12.700,15059
2015-06-26 08:29:27.100,14724
2015-06-26 08:29:46.300,14943
2015-06-26 08:29:53.500,15369
2015-06-26 08:30:04.300,14925
2015-06-26 08:30:18.700,15585
2015-06-26 08:30:37.900,14441
2015-06-26 08:30:45.100,15136
2015-06-26 08:30:55.900,15402
2015-06-26 08:31:10.300,15168
2015-06-26 08:31:29.500,14405
2015-06-26 08:31:36.700,14705
2015-06-26 08:31:47.500,11859
2015-06-26 08:32:01.900,15493
2015-06-26 08:32:21.100,14026
2015-06-26 08:32:28.300,15348
2015-06-26 08:32:39.100,14877
2015-06-26 08:32:53.500,15074
2015-06-26 08:33:12.700,15151
2015-06-26 08:33:19.900,15419
2015-06-26 08:33:30.700,15203
2015-06-26 08:33:45.100,15147
2015-06-26 08:34:04.300,15007
2015-06-26 08:34:11.500,15405
2015-06-26 08:34:22.300,14652
2015-06-26 08:34:36.700,15135
2015-06-26 08:34:55.900,14484
2015-06-26 08:35:03.100,14753
2015-06-26 08:35:13.900,15344
2015-06-26 08:35:28.300,14881
2015-06-26 08:35:47.500,14517
2015-06-26 08:35:54.700,14978
2015-06-26 08:36:05.500,15207
2015-06-26 08:36:19.900,15372
2015-06-26 08:36:39.100,14525
2015-06-26 08:36:46.300,15191
2015-06-26 08:36:57.100,15135
